Model,MAE,RMSE,R2
Random Forest,1239.5593734997371,4158.182601351782,0.8977987324508816
Decision Tree,1370.1763537730772,4742.419440045977,0.8670620146673473
Gradient Boosting,1688.2153044903487,5210.745044131874,0.8395096897373256
Ridge Regression,2060.7441285936275,6114.855258133115,0.7789851111030973
Linear Regression,2062.018484429922,6114.911018165545,0.7789810803115115
